subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1921.966835	-420.000000	0.000000	52.000000	1969.399841	0.000000	0.000000	0.000000	0	4.868464	432.422374	226.020407	-352.841430	-252.129405	228.069779	-354.202055	-244.427182	46.703354	0.000000	-420.000000	0	8.085510	0.077964	4.104526	227.045093	-353.521743	-248.278293	180.341739	353.521743	171.721707	354.202055	175.572818	184.870595	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1969.611994	-420.000000	0.000000	53.000000	2016.558672	2005.228987	0.000000	0.000000	0	20.291578	417.852372	224.343770	-338.531784	-257.525869	226.775605	-338.933120	-248.579882	46.703354	0.000000	-420.000000	0	9.279309	1.193799	14.570003	225.559687	-338.732452	-253.052875	178.856334	338.732452	166.947125	338.933120	171.420118	179.474131	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2016.794779	-420.000000	0.000000	54.000000	2063.519038	2005.228987	0.000000	0.000000	0	45.138769	393.409300	218.933627	-316.818127	-267.949105	220.349306	-314.899155	-255.212732	46.703354	0.000000	-420.000000	0	12.957692	3.678383	24.443072	219.641466	-315.858641	-261.580919	172.938113	315.858641	158.419081	314.899155	164.787268	169.050895	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2063.742740	-420.000000	0.000000	55.000000	2110.294196	2005.228987	0.000000	0.000000	0	77.098506	361.994858	210.388087	-287.627918	-280.624300	211.430485	-286.299407	-264.563590	46.703354	0.000000	-420.000000	0	16.149240	3.191548	31.414442	210.909286	-286.963663	-272.593945	164.205932	286.963663	147.406055	286.299407	155.436410	156.375700	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2110.508916	-420.000000	0.000000	56.000000	2158.003515	2005.228987	0.000000	0.000000	0	113.418809	325.986215	198.239583	-255.576491	-293.908480	199.311188	-253.949832	-276.003824	46.703354	0.000000	-420.000000	0	18.010303	1.861063	36.008643	198.775385	-254.763162	-284.956152	152.072032	254.763162	135.043848	253.949832	143.996176	143.091520	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2158.237055	-420.000000	0.000000	57.000000	2204.899293	2005.228987	0.000000	0.000000	0	151.981922	287.506571	183.745791	-222.293625	-308.993499	184.071101	-220.418502	-287.397927	46.703354	0.000000	-420.000000	0	21.679268	3.668964	38.479644	183.908446	-221.356063	-298.195713	137.205092	221.356063	121.804287	220.418502	132.602073	128.006501	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2205.113586	-420.000000	0.000000	58.000000	2251.375469	2005.228987	0.000000	0.000000	0	191.304948	248.122318	167.295837	-189.259777	-323.392916	166.395782	-186.727348	-299.453726	46.703354	0.000000	-420.000000	0	24.089585	2.410317	39.384254	166.845810	-187.993563	-311.423321	120.142456	187.993563	108.576679	186.727348	120.546274	113.607084	0	0	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2251.588479	-420.000000	0.000000	59.000000	2298.198534	2005.228987	0.000000	0.000000	0	228.872876	210.505788	151.547789	-158.431132	-338.811965	150.525467	-155.282352	-313.324070	46.703354	0.000000	-420.000000	0	25.701998	1.612413	37.616530	151.036628	-156.856742	-326.068018	104.333274	156.856742	93.931982	155.282352	106.675930	98.188035	0	0	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2298.426941	-420.000000	0.000000	60.000000	2345.292351	2005.228987	0.000000	0.000000	0	263.929072	175.491489	139.139405	-129.927126	-356.540276	136.357075	-126.892444	-328.295057	46.703354	0.000000	-420.000000	0	28.543704	2.841705	35.014299	137.748240	-128.409785	-342.417667	91.044886	128.409785	77.582333	126.892444	91.704943	80.459724	0	0	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2345.508354	-420.000000	0.000000	61.000000	2392.482406	2005.228987	0.000000	0.000000	0	295.886145	143.681196	128.160855	-104.982531	-375.356831	124.141869	-101.586516	-343.571168	46.703354	0.000000	-420.000000	0	32.218218	3.674514	31.810293	126.151362	-103.284523	-359.463999	79.448008	103.284523	60.536001	101.586516	76.428832	61.643169	0	0	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2392.697982	-420.000000	0.000000	62.000000	2439.742182	2005.228987	0.000000	0.000000	0	323.905785	116.082409	120.432399	-85.116710	-396.375125	111.849733	-79.970497	-357.832489	46.703354	0.000000	-420.000000	0	39.820604	7.602386	27.598787	116.141066	-82.543603	-377.103807	69.437712	82.543603	42.896193	79.970497	62.167511	40.624875	0	0	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2439.955619	-420.000000	0.000000	63.000000	2486.507503	2005.228987	0.000000	0.000000	0	348.423742	92.721532	113.510803	-68.450623	-417.823734	100.434615	-62.870163	-371.045059	46.703354	0.000000	-420.000000	0	48.891437	9.070834	23.360878	106.972709	-65.660393	-394.434396	60.269355	65.660393	25.565604	62.870163	48.954941	19.176266	0	0	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2486.721368	-420.000000	0.000000	64.000000	2533.579933	2005.228987	0.000000	0.000000	0	368.649272	76.027783	109.313217	-55.838994	-437.155776	92.673578	-49.084277	-384.889641	46.703354	0.000000	-420.000000	0	55.265293	6.373856	16.693749	100.993397	-52.461635	-411.022708	54.290044	52.461635	8.977292	49.084277	35.110359	0.155776	0	0	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2533.792515	-420.000000	0.000000	65.000000	2580.968028	2005.228987	0.000000	0.000000	0	385.303410	64.015017	105.098365	-45.200885	-450.982099	85.707649	-37.597887	-396.048415	46.703354	0.000000	-420.000000	0	58.749597	3.484304	12.012765	95.403007	-41.399386	-423.515257	48.699653	41.399386	3.515257	37.597887	23.951585	13.982099	0	0	0	0	0
